sepal_length,sepal_width,petal_length,petal_width,species,"distance of (3.6, 2.0)"
5.7,2.6,3.5,1,versicolor,1.004
5.5,2.4,3.8,1.1,versicolor,0.921
5.5,2.4,3.7,1,versicolor,1.004
5.8,2.7,3.9,1.2,versicolor,0.854
6,2.7,5.1,1.6,versicolor,1.552
5.4,3,4.5,1.5,versicolor,1.029
6,3.4,4.5,1.6,versicolor,0.984
6.7,3.1,4.7,1.5,versicolor,1.208
6.3,2.3,4.4,1.3,versicolor,1.063
5.6,3,4.1,1.3,versicolor,0.86
5.5,2.5,4,1.3,versicolor,0.806
5.5,2.6,4.4,1.2,versicolor,1.131
6.1,3,4.6,1.4,versicolor,1.166
5.8,2.6,4,1.2,versicolor,0.894
5,2.3,3.3,1,versicolor,1.044
5.6,2.7,4.2,1.3,versicolor,0.921
5.7,3,4.2,1.2,versicolor,1
5.7,2.9,4.2,1.3,versicolor,0.921
6.2,2.9,4.3,1.3,versicolor,0.989
5.1,2.5,3,1.1,versicolor,1.081
5.7,2.8,4.1,1.3,versicolor,0.86
6.3,3.3,6,2.5,virginica,2.4515
5.8,2.7,5.1,1.9,virginica,1.503
7.1,3,5.9,2.1,virginica,2.302
6.3,2.9,5.6,1.8,virginica,2.009
6.5,3,5.8,2.2,virginica,2.209
7.6,3,6.6,2.1,virginica,3.001
4.9,2.5,4.5,1.7,virginica,0.948
7.3,2.9,6.3,1.8,virginica,2.707
6.7,2.5,5.8,1.8,virginica,2.209
7.2,3.6,6.1,2.5,virginica,2.54
6.5,3.2,5.1,2,virginica,1.49
6.4,2.7,5.3,1.9,virginica,1.702
6.8,3,5.5,2.1,virginica,1.902
5.7,2.5,5,2,virginica,1.4
5.8,2.8,5.1,2.4,virginica,1.552
6.4,3.2,5.3,2.3,virginica,1.726
6.5,3,5.5,1.8,virginica,1.91
7.7,3.8,6.7,2.2,virginica,3.106
7.7,2.6,6.9,2.3,virginica,3.313
6,2.2,5,1.5,virginica,1.48
6.9,3.2,5.7,2.3,virginica,2.121
5.6,2.8,4.9,2,virginica,1.301
7.7,2.8,6.7,2,virginica,3.1
6.3,2.7,4.9,1.8,virginica,1.315
6.7,3.3,5.7,2.1,virginica,2.102
7.2,3.2,6,1.8,virginica,2.408
6.2,2.8,4.8,1.8,virginica,1.216
6.1,3,4.9,1.8,virginica,1.315
6.4,2.8,5.6,2.1,virginica,2.002
7.2,3,5.8,1.6,virginica,2.236
7.4,2.8,6.1,1.9,virginica,2.501
7.9,3.8,6.4,2,virginica,2.8
6.4,2.8,5.6,2.2,virginica,2.009
6.3,2.8,5.1,1.5,virginica,1.5811
6.1,2.6,5.6,1.4,virginica,2.088
7.7,3,6.1,2.3,virginica,2.517
6.3,3.4,5.6,2.4,virginica,2.03
6.4,3.1,5.5,1.8,virginica,1.91
6,3,4.8,1.8,virginica,1.216
6.9,3.1,5.4,2.1,virginica,1.806
6.7,3.1,5.6,2.4,virginica,2.039
6.9,3.1,5.1,2.3,virginica,1.529
5.8,2.7,5.1,1.9,virginica,1.503
6.8,3.2,5.9,2.3,virginica,2.319
6.7,3.3,5.7,2.5,virginica,2.158
6.7,3,5.2,2.3,virginica,1.627
6.3,2.5,5,1.9,virginica,1.403
6.5,3,5.2,2,virginica,1.6
6.2,3.4,5.4,2.3,virginica,1.824
5.9,3,5.1,1.8,virginica,1.512
